date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:52	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-6dc9ac725fd4121d;gz%22	https://pixydrops.com/robots.txt		(from )
15:18:52	100899/100899	U-----	200	untouched ('OK')	text/html	etag:%2218a23-661584d2-9b94f81f982d376e;gz%22	https://pixydrops.com/laboix-html/index-2.html	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/index-2.html	(from )
15:18:53	6366/6366	U-----	200	untouched ('')	image/png	date:Wed,%2005%20Nov%202025%2007:56:13%20GMT	https://pixydrops.com/laboix-html/assets/images/favicons/apple-touch-icon.png	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/apple-touch-icon.png	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:53	801/801	U-----	200	untouched ('')	image/png	date:Wed,%2005%20Nov%202025%2007:56:13%20GMT	https://pixydrops.com/laboix-html/assets/images/favicons/favicon-32x32.png	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/favicon-32x32.png	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:54	448/448	U-----	200	untouched ('')	image/png	date:Wed,%2005%20Nov%202025%2007:56:13%20GMT	https://pixydrops.com/laboix-html/assets/images/favicons/favicon-16x16.png	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/favicon-16x16.png	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:54	232919/232919	U-----	200	untouched ('OK')	text/css	etag:%2238dd7-658d890c-c9251b75ece835c8;gz%22	https://pixydrops.com/laboix-html/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:54	263/263	U-----	200	untouched ('')	text/plain	etag:%22107-658d8e76-810d3653df6e014c;;;%22	https://pixydrops.com/laboix-html/assets/images/favicons/site.webmanifest	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/favicons/site.webmanifest	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:54	11832/11832	U-----	200	untouched ('OK')	text/css	etag:%222e38-658d890c-ffbe6b06f7877c14;gz%22	https://pixydrops.com/laboix-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:54	87493/87493	U-----	200	untouched ('OK')	text/css	etag:%22155c5-658d890c-6d6f08af088fdaf7;gz%22	https://pixydrops.com/laboix-html/assets/vendors/animate/animate.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/animate/animate.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:54	25370/25370	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Nov%202025%2008:18:52%20GMT	https://pixydrops.com/laboix-html/assets/images/landing/home-2.jpg	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/images/landing/home-2.jpg	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:55	59348/59348	U-----	200	untouched ('OK')	text/css	etag:%22e7d4-658d890c-75bc5d158223b9fc;gz%22	https://pixydrops.com/laboix-html/assets/vendors/fontawesome/css/all.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/fontawesome/css/all.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:55	34763/34763	U-----	200	untouched ('OK')	text/css	etag:%2287cb-658d890c-b8f53dea5cb1a470;gz%22	https://pixydrops.com/laboix-html/assets/vendors/jquery-ui/jquery-ui.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/jquery-ui/jquery-ui.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:55	335/335	U-----	200	untouched ('OK')	text/css	etag:%2214f-658d890c-7c77143a9a73f288;gz%22	https://pixydrops.com/laboix-html/assets/vendors/jarallax/jarallax.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/jarallax/jarallax.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:55	7302/7302	U-----	200	untouched ('OK')	text/css	etag:%221c86-658d890c-c2449b8c9ac556c2;gz%22	https://pixydrops.com/laboix-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:55	4040/4040	U-----	200	untouched ('OK')	text/css	etag:%22fc8-658d890c-f6d9599b75711d79;gz%22	https://pixydrops.com/laboix-html/assets/vendors/nouislider/nouislider.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/nouislider/nouislider.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:56	1421/1421	U-----	200	untouched ('OK')	text/css	etag:%2258d-658d890c-115bbf7cdbcf2f90;gz%22	https://pixydrops.com/laboix-html/assets/vendors/nouislider/nouislider.pips.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/nouislider/nouislider.pips.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:56	3071/3071	U-----	200	untouched ('OK')	text/css	etag:%22bff-660aa606-acafc12df149e71a;gz%22	https://pixydrops.com/laboix-html/assets/vendors/laboix-icons/style.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/laboix-icons/style.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:56	3356/3356	U-----	200	untouched ('OK')	text/css	etag:%22d1c-658d890c-eda0a85cdd51edb;gz%22	https://pixydrops.com/laboix-html/assets/vendors/owl-carousel/css/owl.carousel.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/owl-carousel/css/owl.carousel.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:56	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-6dc9ac725fd4121d;gz%22	https://pixydrops.com/laboix-html/gallery.html	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/gallery.html	(from https://pixydrops.com/laboix-html/index-2.html)
15:18:56	1018/1018	U-----	200	untouched ('OK')	text/css	etag:%223fa-658d890c-b6c91e5f5d331050;gz%22	https://pixydrops.com/laboix-html/assets/vendors/owl-carousel/css/owl.theme.default.min.css	C:/Kuliah/template/template_project_LAB_NCS/pixydrops.com/laboix-html/assets/vendors/owl-carousel/css/owl.theme.default.min.css	(from https://pixydrops.com/laboix-html/index-2.html)
